# Multilingual Google Product Taxonomy
# Generated from monolingual files with wikidata mappings
# Format: ID | hierarchy_depth | wikidata_uri | language_code:category_name | ...

1 | 1 | http://www.wikidata.org/entity/Q116957923 | cs-CZ:Chovatelství | da-DK:Dyr og tilbehør til kæledyr | de-CH:Tiere & Tierbedarf | de-DE:Tiere & Tierbedarf | en-AU:Animals & Pet Supplies | en-GB:Animals & Pet Supplies | en-US:Animals & Pet Supplies | es-ES:Productos para mascotas y animales | fr-CH:Animaux et articles pour animaux de compagnie | fr-FR:Animaux et articles pour animaux de compagnie | it-IT:Articoli per animali | ja-JP:ペット・ペット用品 | nl-NL:Dieren | no-NO:Dyr og kjæledyrutstyr | pl-PL:Zwierzęta i artykuły dla zwierząt | pt-BR:Animais e suprimentos para animais de estimação | ru-RU:Животные и товары для питомцев | sv-SE:Djur och tillbehör till husdjur | tr-TR:Hayvanlar ve Evcil Hayvan Ürünleri
2 | 2 | http://www.wikidata.org/entity/Q115921084 | cs-CZ:Chovatelství > Potřeby pro domácí zvířata | da-DK:Dyr og tilbehør til kæledyr > Tilbehør til kæledyr | de-CH:Tiere & Tierbedarf > Haustierbedarf | de-DE:Tiere & Tierbedarf > Haustierbedarf | en-AU:Animals & Pet Supplies > Pet Supplies | en-GB:Animals & Pet Supplies > Pet Supplies | en-US:Animals & Pet Supplies > Pet Supplies | es-ES:Productos para mascotas y animales > Productos para mascotas | fr-CH:Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie | fr-FR:Animaux et articles pour animaux de compagnie > Articles pour animaux de compagnie | it-IT:Articoli per animali > Animali domestici - Articoli | ja-JP:ペット・ペット用品 > ペット用品 | nl-NL:Dieren > Benodigdheden voor huisdieren | no-NO:Dyr og kjæledyrutstyr > Kjæledyrutstyr | pl-PL:Zwierzęta i artykuły dla zwierząt > Artykuły dla zwierząt | pt-BR:Animais e suprimentos para animais de estimação > Suprimentos para animais de estimação | ru-RU:Животные и товары для питомцев > Товары для домашних животных | sv-SE:Djur och tillbehör till husdjur > Tillbehör till husdjur | tr-TR:Hayvanlar ve Evcil Hayvan Ürünleri > Evcil Hayvan Ürünleri
39 | 2 | http://www.wikidata.org/entity/Q11633 | cs-CZ:Foto, video a optika > Fotografování | da-DK:Kameraer og optik > Fotografi | de-CH:Kameras & Optik > Fotografie | de-DE:Kameras & Optik > Fotografie | en-AU:Cameras & Optics > Photography | en-GB:Cameras & Optics > Photography | en-US:Cameras & Optics > Photography | es-ES:Cámaras y ópticas > Fotografía | fr-CH:Appareils photo, caméras et instruments d'optique > Photographie | fr-FR:Appareils photo, caméras et instruments d'optique > Photographie | it-IT:Fotocamere/dispositivi ottici > Fotografia | ja-JP:カメラ・光学機器 > 写真関連用具 | nl-NL:Camera's en optiek > Fotografie | no-NO:Kameraer og optikk > Fotografering | pl-PL:Aparaty, kamery i przyrządy optyczne > Fotografia | pt-BR:Câmeras e óptica > Fotografia | ru-RU:Камеры и оптика > Фотография | sv-SE:Kameror och optik > Fotografi | tr-TR:Kameralar ve Optik Malzemeler > Fotoğrafçılık
97 | 2 | http://www.wikidata.org/entity/Q12910132 | cs-CZ:Náboženské a obřadní zboží > Náboženské potřeby | da-DK:Religiøst og ceremonielt > Religiøse ting | de-CH:Religion & Feierlichkeiten > Religiöse Artikel | de-DE:Religion & Feierlichkeiten > Religiöse Artikel | en-AU:Religious & Ceremonial > Religious Items | en-GB:Religious & Ceremonial > Religious Items | en-US:Religious & Ceremonial > Religious Items | es-ES:Elementos religiosos y ceremoniales > Artículos religiosos | fr-CH:Offices religieux et cérémonies > Objets religieux | fr-FR:Offices religieux et cérémonies > Objets religieux | it-IT:Articoli religiosi e per cerimonie > Articoli religiosi | ja-JP:冠婚葬祭・宗教 > 宗教関連用具 | nl-NL:Religieus en ceremonieel > Religieuze artikelen | no-NO:Religiøst og seremonielt > Religiøse gjenstander | pl-PL:Artykuły religijne i dewocjonalia > Artykuły religijne | pt-BR:Material para cerimônias e eventos religiosos > Itens religiosos | ru-RU:Товары для церемоний и религиозных обрядов > Культовые товары | sv-SE:Religion och ceremonier > Religiösa objekt | tr-TR:Din ve Törenler > Dini Eşyalar
100 | 2 | http://www.wikidata.org/entity/Q5843 | cs-CZ:Tašky a zavazadla > Batohy | da-DK:Kufferter og tasker > Rygsække | de-CH:Taschen & Gepäck > Rucksäcke | de-DE:Taschen & Gepäck > Rucksäcke | en-AU:Luggage & Bags > Backpacks | en-GB:Luggage & Bags > Backpacks | en-US:Luggage & Bags > Backpacks | es-ES:Maletas y bolsos de viaje > Mochilas | fr-CH:Bagages et maroquinerie > Sacs à dos | fr-FR:Bagages et maroquinerie > Sacs à dos | it-IT:Bagagli e borse > Zaini | ja-JP:旅行用かばん・バッグ > バックパック | nl-NL:Bagage en tassen > Rugzakken | no-NO:Bagasje og vesker > Ryggsekker | pl-PL:Torby, walizki i akcesoria podróżne > Plecaki | pt-BR:Malas e bolsas > Mochilas | ru-RU:Багаж и сумки > Рюкзаки | sv-SE:Resväskor och väskor > Ryggsäckar | tr-TR:Bavullar ve Çantalar > Sırt Çantaları
101 | 2 | http://www.wikidata.org/entity/Q915026 | cs-CZ:Tašky a zavazadla > Kufříky | da-DK:Kufferter og tasker > Dokumentmapper | de-CH:Taschen & Gepäck > Aktentaschen | de-DE:Taschen & Gepäck > Aktentaschen | en-AU:Luggage & Bags > Briefcases | en-GB:Luggage & Bags > Briefcases | en-US:Luggage & Bags > Briefcases | es-ES:Maletas y bolsos de viaje > Maletines | fr-CH:Bagages et maroquinerie > Porte-documents | fr-FR:Bagages et maroquinerie > Porte-documents | it-IT:Bagagli e borse > Ventiquattrore | ja-JP:旅行用かばん・バッグ > ブリーフケース | nl-NL:Bagage en tassen > Aktetassen | no-NO:Bagasje og vesker > Dokumentvesker | pl-PL:Torby, walizki i akcesoria podróżne > Aktówki | pt-BR:Malas e bolsas > Pastas | ru-RU:Багаж и сумки > Портфели | sv-SE:Resväskor och väskor > Portföljer | tr-TR:Bavullar ve Çantalar > Evrak Çantaları
103 | 2 | http://www.wikidata.org/entity/Q1190525 | cs-CZ:Tašky a zavazadla > Brašny přes rameno | da-DK:Kufferter og tasker > Duffeltasker | de-CH:Taschen & Gepäck > Seesäcke | de-DE:Taschen & Gepäck > Seesäcke | en-AU:Luggage & Bags > Duffel Bags | en-GB:Luggage & Bags > Duffel Bags | en-US:Luggage & Bags > Duffel Bags | es-ES:Maletas y bolsos de viaje > Bolsas de deporte | fr-CH:Bagages et maroquinerie > Sacs polochon | fr-FR:Bagages et maroquinerie > Sacs polochon | it-IT:Bagagli e borse > Borsoni | ja-JP:旅行用かばん・バッグ > ダッフルバッグ | nl-NL:Bagage en tassen > Plunjezakken | no-NO:Bagasje og vesker > Skipssekker | pl-PL:Torby, walizki i akcesoria podróżne > Torby sportowe | pt-BR:Malas e bolsas > Mochilas de viagem | ru-RU:Багаж и сумки > Большие спортивные сумки | sv-SE:Resväskor och väskor > Duffelväska | tr-TR:Bavullar ve Çantalar > Çantalar
104 | 2 | http://www.wikidata.org/entity/Q2742804 | cs-CZ:Tašky a zavazadla > Ledvinky | da-DK:Kufferter og tasker > Bæltetasker | de-CH:Taschen & Gepäck > Bauchtaschen | de-DE:Taschen & Gepäck > Bauchtaschen | en-AU:Luggage & Bags > Bum Bags | en-GB:Luggage & Bags > Bum Bags | en-US:Luggage & Bags > Fanny Packs | es-ES:Maletas y bolsos de viaje > Riñoneras | fr-CH:Bagages et maroquinerie > Sacs banane | fr-FR:Bagages et maroquinerie > Sacs banane | it-IT:Bagagli e borse > Marsupi | ja-JP:旅行用かばん・バッグ > ウェストポーチ・ヒップバッグ | nl-NL:Bagage en tassen > Heuptasjes | no-NO:Bagasje og vesker > Rumpetasker | pl-PL:Torby, walizki i akcesoria podróżne > Saszetki na biodra | pt-BR:Malas e bolsas > Pochetes | ru-RU:Багаж и сумки > Поясные сумки | sv-SE:Resväskor och väskor > Midjeväskor | tr-TR:Bavullar ve Çantalar > Bel Çantaları
105 | 2 | http://www.wikidata.org/entity/Q15044071 | cs-CZ:Tašky a zavazadla > Obaly na šaty | da-DK:Kufferter og tasker > Tøjposer | de-CH:Taschen & Gepäck > Kleidertaschen | de-DE:Taschen & Gepäck > Kleidertaschen | en-AU:Luggage & Bags > Garment Bags | en-GB:Luggage & Bags > Garment Bags | en-US:Luggage & Bags > Garment Bags | es-ES:Maletas y bolsos de viaje > Fundas para trajes | fr-CH:Bagages et maroquinerie > Housses à vêtements | fr-FR:Bagages et maroquinerie > Housses à vêtements | it-IT:Bagagli e borse > Custodie per abiti | ja-JP:旅行用かばん・バッグ > ガーメントバッグ | nl-NL:Bagage en tassen > Kledingzakken | no-NO:Bagasje og vesker > Klesposer | pl-PL:Torby, walizki i akcesoria podróżne > Torby na ubrania | pt-BR:Malas e bolsas > Sacos para proteger roupas | ru-RU:Багаж и сумки > Сумки-чехлы для одежды | sv-SE:Resväskor och väskor > Klädväska | tr-TR:Bavullar ve Çantalar > Elbise Çantaları
106 | 2 | http://www.wikidata.org/entity/Q117208231 | cs-CZ:Tašky a zavazadla > Poštovní kabely | da-DK:Kufferter og tasker > Kurertasker | de-CH:Taschen & Gepäck > Kurier- & Schultertaschen | de-DE:Taschen & Gepäck > Kurier- & Schultertaschen | en-AU:Luggage & Bags > Messenger Bags | en-GB:Luggage & Bags > Messenger Bags | en-US:Luggage & Bags > Messenger Bags | es-ES:Maletas y bolsos de viaje > Bandoleras grandes | fr-CH:Bagages et maroquinerie > Besaces | fr-FR:Bagages et maroquinerie > Besaces | it-IT:Bagagli e borse > Borse messenger | ja-JP:旅行用かばん・バッグ > メッセンジャーバッグ | nl-NL:Bagage en tassen > Messengertassen | no-NO:Bagasje og vesker > Budvesker | pl-PL:Torby, walizki i akcesoria podróżne > Listonoszki | pt-BR:Malas e bolsas > Bolsas a tiracolo | ru-RU:Багаж и сумки > Сумки почтальонов | sv-SE:Resväskor och väskor > Kurirväskor | tr-TR:Bavullar ve Çantalar > Postacı Çantaları
107 | 2 | http://www.wikidata.org/entity/Q200814 | cs-CZ:Tašky a zavazadla > Kufry | da-DK:Kufferter og tasker > Håndkufferter | de-CH:Taschen & Gepäck > Koffer | de-DE:Taschen & Gepäck > Koffer | en-AU:Luggage & Bags > Suitcases | en-GB:Luggage & Bags > Suitcases | en-US:Luggage & Bags > Suitcases | es-ES:Maletas y bolsos de viaje > Maletas | fr-CH:Bagages et maroquinerie > Valises | fr-FR:Bagages et maroquinerie > Valises | it-IT:Bagagli e borse > Valigette | ja-JP:旅行用かばん・バッグ > スーツケース | nl-NL:Bagage en tassen > Koffers | no-NO:Bagasje og vesker > Kofferter | pl-PL:Torby, walizki i akcesoria podróżne > Walizki | pt-BR:Malas e bolsas > Maletas | ru-RU:Багаж и сумки > Чемоданы | sv-SE:Resväskor och väskor > Resväskor | tr-TR:Bavullar ve Çantalar > Valizler
